"FULL_KATO_NAME";"KATO_2_NAME";"KATO_2";"KATO_4_NAME";"KATO_4";"FAMILY_CAT_NEW";"filtr1";"filtr2";"filtr3";"filtr4";"filtr5";"filtr6";"filtr7";"filtr8";"filtr9";"filtr10";"ID_SK_FAMILY_QUALITY22";"filtr11";"filtr12";"filtr13";"filtr14";"filtr15";"filtr16";"filtr17";"filtr18";"filtr19";"filtr20";"filtr21";"filtr22";"filtr23";"filtr24";"filtr25";"filtr26";"filtr27";"filtr65";"filtr28";"filtr29";"filtr30";"filtr31";"filtr32";"filtr33";"filtr34";"count_iin";"KATO_42";"Rating"
район Алматы;г.Астана;"71";г.Астана;"7111";С - Неблагополучный уровень семьи (необходим мониторинг) ;от 2 до 3 прожиточных минимумов (СДД);В семье только 1 член семьи работает;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472073";В семье есть трое несовершеннолетних детей и учащейся молодежи до 23 лет;В семье есть лица с инвалидностью (1 или 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи есть среднее образование;В семье есть профессиональное и среднеспециальное образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семье есть профессиональное или среднеспециальное образование;Города республиканского значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Есть обращение;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;4;"7111";"10"
район Алматы;г.Астана;"71";г.Астана;"7111";В - удовлетворительный уровень семьи (ниже среднего);от черты бедности до 1 прожиточного минимума (СДД);В семье только 1 член семьи работает;В семье есть 2 единицы жилья;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье есть учредители ТОО и ИП;"21472078";В семье есть от 4 - х и более несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет не прикрепленные к школе, садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи есть среднее образование;В семье есть профессиональное и среднеспециальное образование;Семьи, в которых у взрослых членов семьи есть высшее образование;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье есть дети от 2 до 6 лет включительно прикрепленые к садику;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семье есть высшее образование;Города республиканского значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье есть социально значимые заболевания;Есть обращение;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;6;"7111";"4"
г.Петропавловск;Северо-Казахстанская область;"59";Петропавловск Г.А.;"5910";D - Кризисный уровень семьи (требуется помощь);Семья без доходов (СДД);Семьи с трудоспособными и не работающими членами семьи;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472082";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых нет участников ОСМС;Семья без кредитов;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Административные центры областей;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых нет плательщиков ОПВ;Семья живет в городе;В Семье есть социально значимые заболевания;Нет обращения;В семье нет детей от 8 до 14 лет включительно;1;"5910";"10"
Щучинская г.а.;Акмолинская область;"11";Бурабайский район;"1170";E - Экстренный уровень семьи (требуется срочная помощь);Семья без доходов (СДД);Семьи с трудоспособными и не работающими членами семьи;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472090";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Один член семьи имеет просроченную задолженность по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых нет плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;2;"1170";"11"
г.Актобе;Актюбинская область;"15";Актобе Г.А.;"1510";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье только 1 член семьи работает;В семье есть 2 единицы жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472091";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья без кредитов;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Города областного значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;2;"1510";"2"
район Сарыарка;г.Астана;"71";г.Астана;"7113";В - удовлетворительный уровень семьи (ниже среднего);от 3 до 4 прожиточных минимумов (СДД);В семье только 1 член семьи работает;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"214721";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Города республиканского значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;2;"7113";"5"
Алмалинский район;г.Алматы;"75";г.Алматы;"7511";D - Кризисный уровень семьи (требуется помощь);Семья без доходов (СДД);Семьи с трудоспособными и не работающими членами семьи;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье есть учредители ТОО и ИП;"21472101";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых нет участников ОСМС;Семья есть кредиты;Один член семьи имеет просроченную задолженность по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Города республиканского значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых нет плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;1;"7511";"8"
Бостандыкский район;г.Алматы;"75";г.Алматы;"7514";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье только 1 член семьи работает;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье есть ИП;"21472105";В семье есть один несовершеннолетний ребенок или учащейся молодеж до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семьи нет образования;Города республиканского значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Есть обращение;В семье нет детей от 8 до 14 лет включительно;2;"7514";"4"
Бостандыкский район;г.Алматы;"75";г.Алматы;"7514";E - Экстренный уровень семьи (требуется срочная помощь);от 1 до 2 прожиточных минимумов (СДД);Семьи с трудоспособными и не работающими членами семьи;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472111";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье есть лица с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Один член семьи имеет просроченную задолженность по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Города республиканского значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых нет плательщиков ОПВ;Семья живет в городе;В Семье есть социально значимые заболевания;Есть обращение;В семье нет детей от 8 до 14 лет включительно;1;"7514";"12"
Карнакский с.о.;Туркестанская область;"61";Кентау Г.А.;"6120";С - Неблагополучный уровень семьи (необходим мониторинг) ;от черты бедности до 1 прожиточного минимума (СДД);В семье только 1 член семьи работает;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье есть ИП;"21472112";В семье есть один несовершеннолетний ребенок или учащейся молодеж до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье есть лица с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи есть среднее образование;В семье есть профессиональное и среднеспециальное образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семье есть профессиональное или среднеспециальное образование;Города областного значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье есть социально значимые заболевания;Есть обращение;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;5;"6120";"11"
Алатауский район;г.Алматы;"75";г.Алматы;"7512";С - Неблагополучный уровень семьи (необходим мониторинг) ;от 2 до 3 прожиточных минимумов (СДД);В семье только 1 член семьи работает;Семьи без жилья;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472116";В семье есть от 4 - х и более несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье есть дети до 18 лет не прикрепленные к школе, садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Один член семьи имеет просроченную задолженность по кредитам;В семье есть дети от 2 до 6 лет включительно прикрепленые к садику;В семье есть дети от 6 до 15 лет включительно не прикрепленые к школе;В семьи нет образования;Города республиканского значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;6;"7512";"9"
Сейфуллинский с.о.;область Ұлытау;"62";Жанааркинский район;"6236";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье только 1 член семьи работает;В семье есть 2 единицы жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье есть личное подсобное хозяйство с доходом от 500 до 1 000 тыс. тенге;В семье нет учредителей ТОО и ИП;"21472119";В семье есть один несовершеннолетний ребенок или учащейся молодеж до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи есть среднее образование;В семье есть профессиональное и среднеспециальное образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семье есть профессиональное или среднеспециальное образование;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Есть обращение;В семье нет детей от 8 до 14 лет включительно;3;"6236";"4"
г.Сатпаев;область Ұлытау;"62";Сатпаев Г.А.;"6220";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье 3 (три) и более автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472120";В семье есть трое несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье есть дети от 2 до 6 лет включительно не прикрепленые к садику;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семьи нет образования;Города областного значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;6;"6220";"4"
г.Арысь;Туркестанская область;"61";Арысь Г.А.;"6116";В - удовлетворительный уровень семьи (ниже среднего);от 3 до 4 прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье есть коммерческая недвижимость;В семье есть личное подсобное хозяйство с доходом до 500 тыс. тенге;В семье есть ИП;"21472121";В семье есть от 4 - х и более несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи есть среднее образование;В семье есть профессиональное и среднеспециальное образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Один член семьи имеет просроченную задолженность по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семье есть профессиональное или среднеспециальное образование;Города областного значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Есть обращение;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;6;"6116";"8"
Жуантобинский с.о.;Кызылординская область;"43";Шиелийский район;"4352";В - удовлетворительный уровень семьи (ниже среднего);от 1 до 2 прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье есть личное подсобное хозяйство с доходом до 500 тыс. тенге;В семье нет учредителей ТОО и ИП;"21472122";В семье есть от 4 - х и более несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет не прикрепленные к школе, садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семьи нет образования;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;7;"4352";"5"
Каратауский район;г.Шымкент;"79";г.Шымкент;"7917";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье только 1 член семьи работает;Семьи без жилья;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472124";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых нет участников ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Города республиканского значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;1;"7917";"4"
